"year","lwr","mean","upr"
1923,10428.9167838442,12157.4498295996,13261.6873732954
1924,9437.7336719394,12319.4794888467,15434.9052009535
1925,10993.1482626533,12464.3761979364,13762.8109520482
1926,9536.07854545261,12419.931199615,15663.843970033
1927,10552.8847909284,12157.4186765023,13353.4983593011
1928,8343.44406054009,9262.85612784443,10480.5477332084
1929,8132.40600991676,9087.32427077679,10079.8192452276
1930,7513.84282926776,8337.44842572432,9307.40678277746
1931,7256.67354854141,7999.1901892164,9075.536026306
1932,9211.94095930986,10399.3882840036,11443.8979868575
1933,9919.93484525023,11275.8156031531,12418.5680303103
1934,9195.09923195596,10169.9696941987,11275.9435045046
1935,9096.70817539067,10124.8482461372,11251.4834787298
1936,9097.33298715401,10160.8166414709,11246.4769707869
1937,8231.58993275796,9068.19960446839,10231.7021271503
1938,9385.71366947196,10698.934150432,11856.2309636646
1939,7384.6432055235,10225.0584286736,13905.2620564497
1940,6604.72189295163,9790.1347546434,14055.2979355196
1941,6275.89301905043,9315.16799386221,13349.4197112744
1942,6340.88182409891,8802.32688531607,11880.26571858
1943,7383.24846629282,8291.49316070923,9375.46303169645
1944,6235.391806273,8391.23013824264,11057.5399263372
1945,6292.19856440758,8481.4637090135,11205.0801530707
1946,7506.45174829925,8466.96699480533,9465.0327399577
1947,6414.67151613026,8275.6308099117,10515.2574418745
1948,7237.58157394515,7981.87542891916,8999.8471942122
1949,8128.91223025558,9286.22757590701,10288.374141841
1950,6363.91276874907,9000.02228091993,12257.5389913022
1951,5597.71736971983,8662.48497053736,12759.6170769491
1952,5086.00782067501,8341.88161185818,12784.4813946853
1953,4890.36883647315,8010.6352749741,12284.4986612377
1954,4959.61717167142,7663.45630915344,11481.7662059522
1955,5165.87685718391,7269.22258476447,9893.18566499648
1956,6077.35736518308,6900.80245469406,7737.56338083169
1957,4671.01229555385,6284.57225677136,8233.51642053945
1958,4227.63374030226,5671.69031485511,7474.67073340041
1959,4563.40332441278,5065.33405811556,5841.98640567873
1960,4866.53286586785,6291.27885192032,7984.11439168516
1961,6491.70884521718,7699.65016491561,8502.37012986222
1962,5281.18218934989,5854.46897853561,6609.12945108708
1963,4124.26223318463,5545.94765951519,7346.3329871745
1964,3887.68886398169,5181.46067995508,6804.59542800071
1965,4279.88281230673,4827.49865522847,5373.93867142345
1966,3357.41708569328,4333.50576842951,5527.70590001486
1967,3436.55787192641,3840.43393460233,4307.56471972384
1968,3022.56370076713,3335.17403601745,3876.79464775219
1969,3885.67318406151,4314.0291883733,4797.14012170438
1970,4981.66854594583,5547.3833904199,6172.76194112749
1971,6377.56948148964,7173.23218507354,7913.35978230199
1972,7389.9475992988,8240.53831236698,9114.6326266475
1973,8825.59856034301,9852.92231303457,10874.7813125811
1974,9541.12324511074,10593.3453018794,11750.8518838793
1975,10920.5929539383,12332.9064852137,13570.1825504435
1976,10807.1319992038,12055.8552951586,13399.8237676095
1977,9596.81298052351,12372.7597970671,15756.5660677138
1978,11135.6147579903,12499.6724498713,13887.087584936
1979,10088.1834875108,11142.0902247833,12698.623876656
1980,9409.23636064753,12634.6319623616,16548.7442944435
1981,10544.5641849627,14196.9848321419,18702.590628284
1982,13923.6954542898,15792.8144623498,17521.7760613229
1983,11686.9409975195,16013.272594834,21312.1824803776
1984,11245.0077844448,16137.9900945755,22272.0829879481
1985,11820.7643546654,16286.0632227213,21794.9054468336
1986,14641.6531413409,16339.8019600093,18333.7376744111
1987,15325.1138747982,17054.3870478437,18986.1790717462
1988,16391.4152071483,18497.7816699559,20412.5382316037
1989,12914.4808148293,16713.5344078957,21256.1072419774
1990,13447.74207691,14917.2082443816,16657.6078602827
1991,10979.2937958569,14209.3189840537,17952.3291697117
1992,12106.5340851933,13345.7852375787,15321.0526561712
1993,15246.2175373963,17208.3730759361,19030.7750168807
1994,16363.7144913931,18580.111285152,20468.9461959967
1995,14926.7770165136,16733.6690004454,18641.1102620832
1996,11215.30973175,15069.4841282911,19757.4342151076
1997,10089.434779196,13470.6217622299,17801.8304341754
1998,10781.0352558107,11935.5049049903,13489.3964854839
1999,10814.5773642355,11971.3702211696,13410.8112682981
2000,12513.7788809664,14171.2814254611,15592.0777626883
2001,11835.7763130494,13288.2997851923,14640.703164541
2002,10485.8679362827,11815.9582190968,13028.3953541687
2003,8490.46064510444,9382.0957233344,10548.1150480379
2004,7726.82984729725,8521.40724667242,9606.25493614124
2005,8171.33093278032,9284.16228048275,10208.8199248058
2006,6192.52045003921,8007.33280023317,10135.2136634909
2007,6142.23665789101,6810.96389301008,7623.98338662461
2008,5772.17279133427,6385.60288248715,7132.14021272744
2009,6093.92073924595,6915.17951740566,7590.38579135776
2010,5352.04891734539,5995.967563991,6610.54649225929
2011,4257.32001089068,4713.93918952755,5304.32117816103
2012,3799.50371205526,4218.12687975343,4732.60852597499
2013,3613.09801145793,3991.01838873322,4506.09872432368
2014,3386.78014235759,4427.14336628904,5625.15852393229
2015,4291.58927132181,4810.63950557652,5350.39189431888
2016,4489.7342007328,4960.2472713684,5545.63869250327
2017,4937.0131442936,5461.27798951064,6088.97585886082
2018,6262.86985191514,7259.17649609407,8001.0259339329
2019,5149.23131694344,6711.14586204093,8562.32971897361
2020,5418.07328406923,6080.90393271334,6860.62577857751
2021,4279.17866295306,6223.50303985489,8655.88736811927
2022,3726.50398012729,6336.23331936379,9800.23991383362
